Projekt,Nummer,Bezeichnung des Projekts,Netzverknüpfungspunkt (ÜNB),Trassenlänge in km,Übertragungsleistung in MW,Inbetriebnahmejahr,Kommentar,lat,lon
NOR-0-1,,AC-ONAS NOR-0-1 (Riffgat),Emden / Borßum (TenneT),,113,2014.0,NEP2023 Istnetz,53.350195,7.224917
NOR-0-2,,AC-ONAS NOR-0-2 (Nordergründe),Inhausen (TenneT),,111,2017.0,NEP2023 Istnetz,53.620526,8.059785
NOR-2-1,,AC-ONAS (alpha ventus),Hagermarsch (TenneT),,62,2009.0,NEP2023 Istnetz,53.637944,7.298534
NOR-2-2,,DC-ONAS NOR-2-2 (DolWin1),Dörpen / West (TenneT),,800,2015.0,NEP2023 Istnetz,52.982333,7.257574
NOR-2-3,,DC-ONAS NOR-2-3 (DolWin3),Dörpen / West (TenneT),,900,2018.0,NEP2023 Istnetz,52.982333,7.257574
NOR-3-1,,DC-ONAS NOR-3-1 (DolWin2),Dörpen / West (TenneT),,916,2016.0,NEP2023 Istnetz,52.982333,7.257574
NOR-4-1,,DC-ONAS NOR-4-1 (HelWin1),Büttel (TenneT),,576,2015.0,NEP2023 Istnetz,53.917758,9.234576
NOR-4-2,,DC-ONAS NOR-4-2 (HelWin2),Büttel (TenneT),,690,2015.0,NEP2023 Istnetz,53.917758,9.234576
NOR-5-1,,DC-ONAS NOR-5-1 (SylWin1),Büttel (TenneT),,864,2015.0,NEP2023 Istnetz,53.917758,9.234576
NOR-6-1,,DC-ONAS NOR-6-1 (BorWin1),Diele (TenneT),,400,2010.0,NEP2023 Istnetz,53.126873,7.315915
NOR-6-2,,DC-ONAS NOR-6-2 (BorWin2),Diele (TenneT),,800,2015.0,NEP2023 Istnetz,53.126873,7.315915
NOR-8-1,,DC-ONAS NOR-8-1 (BorWin3),Emden / Ost (TenneT),,900,2019.0,NEP2023 Istnetz,53.357128,7.24358
NOR-1-1,,DC-ONAS NOR-1-1 (DolWin5),Emden / Ost (TenneT),132.0,900,2025.0,NEP2023 Startnetz,53.357128,7.24358
NOR-3-2,,DC-ONAS NOR-3-2 (DolWin4),Hanekenfähr (Amprion),196.0,900,2028.0,NEP2023 Startnetz,52.475798,7.307034
NOR-3-3,,DC-ONAS NOR-3-3 (DolWin6),Emden / Ost (TenneT),90.0,900,2023.0,NEP2023 Startnetz,53.357128,7.24358
