,location,state,point
0,Brunsbüttel,Schleswig-Holstein,POINT (9.1395423 53.8972549)
1,Ahlten,Niedersachsen,POINT (9.9119656 52.3650694)
2,Balve-Eisborn,Nordrhein-Westfalen,POINT (7.8838676 51.3870558)
3,Reutles,Bayern,POINT (11.0246344 49.5343175)
4,Hochheim,Hessen,POINT (8.3514488 50.0145517)
5,Legden,Nordrhein-Westfalen,POINT (7.099754098013676 52.03269789265483)
6,Kulkwitz,Sachsen,POINT (12.2324261 51.283959)
7,Marl,Nordrhein-Westfalen,POINT (7.0829054 51.6485843)
8,Mühlberg,Sachsen,POINT (13.1725218 51.5046897)
9,Klein Offenseth,Schleswig-Holstein,POINT (9.683364 53.7847143)
10,Hemmingstedt,Schleswig-Holstein,POINT (9.08263 54.1506435)
11,Huntorf,Niedersachsen,POINT (8.3897014 53.1956997)
12,Sandkrug,Niedersachsen,POINT (8.257391972093515 53.0538793739347)
13,Wiederitzsch,Sachsen,POINT (12.374251 51.3941234)
14,Finsing,Bayern,POINT (11.8253553 48.2167439)
15,Ismaning Nord,Bayern,POINT (11.6608879 48.2110287)
16,Seyweiler,Saarland,POINT (7.2691502 49.161041)
17,Carling,Saarland,POINT (6.713267207127634 49.16738919353264)
18,Fürstenhausen,Saarland,POINT (6.8654184 49.2431689)
19,Leidingen,Saarland,POINT (6.6109318 49.3086764)
20,Perl,Saarland,POINT (6.3874514 49.4735915)
21,March,Baden-Württemberg,POINT (7.7790038 48.0578573)
22,Forchheim,Bayern,POINT (11.0595749 49.7187319)
23,Lengthal,Bayern,POINT (12.805992 48.1818627)
24,Münchsmünster,Bayern,POINT (11.6864502 48.7630342)
25,Schmidhausen,Bayern,POINT (11.8304698 48.4235449)
26,Schnaitsee,Bayern,POINT (12.3686999 48.0702334)
27,Irsching (Menning),Bayern,POINT (11.5730893 48.7574014)
28,Mailing,Bayern,POINT (11.478937018588255 48.774092800000005)
29,Zöllnitz,Sachsen-Anhalt,POINT (11.7003344 52.0089065)
30,Lubmin,Mecklenburg-Vorpommern,POINT (13.612798 54.1318409)
31,Uckermark,Brandenburg,POINT (13.915135050326025 53.24526305)
32,Bobbau,Sachsen-Anhalt,POINT (12.269345975889912 51.69045938775995)
33,Radeland,Brandenburg,POINT (13.5537371 52.0630691)
34,Wolfsbehringen,Thüringen,POINT (10.4890767 51.0066759)
35,Stadtroda,Thüringen,POINT (11.7263639 50.8582666)
36,Rückersdorf,Thüringen,POINT (12.21941992347776 50.822251899358236)
37,Dürrengleina,Thüringen,POINT (11.5378974 50.8571407)
38,Reckrod,Hessen,POINT (9.795001 50.7751551)
39,Zethau,Sachsen,POINT (13.3837749 50.7773525)
40,Wilhelmshaven,Niedersachsen,POINT (8.106301 53.5278793)
41,Sande,Niedersachsen,POINT (8.0144916 53.5027182)
42,Oude Statenzijl,Niedersachsen,POINT (7.205108658430258 53.20183834422634)
43,Folmhusen,Niedersachsen,POINT (7.4794643 53.1730626)
44,Ganderkesee,Niedersachsen,POINT (8.5451469 53.0344984)
